sample_no,burrowing mud shrimp,crab,Crangon shrimp,detritus,detritus ,Dungeness crab,eelgrass,fat innkeeper worm,kelp crab,Macoma,misc digested,polychaete worm,red octopus,shiner surfperch,staghorn sculpin,Threespine stickleback,u/k,unid fish,unid worm
1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
19,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
