date,date_string,month,site,lat,long,soak_time_start,soak_time_end,soak_time_total,num_soak_time,cpue_day,gear_type,habitat,shark_pres_abs,total_shark_day,tot_adults,tot_juv,tot_F,tot_M,no_AF,no_AM,no_JF,no_JM,no_NF,no_NM,no_u/k,cpue_adults,cpue_juv,cpue_F,cpue_M,cpue_AF,cpue_AM,cpue_JF,cpue_JM,cpue_NF,cpue_NM,cpue_u/k,temp,do_per,do_mgl,cond,sal,ph,wind_obs,solar_obs
6/21/2021,20210621,6,Bull Point,38.06344,-122.93102,10:10,12:10,2:00,2,0,gillnet,eel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.446,69.8,5.33,56503,37.62,13.4,light,overcast
6/23/2021,20210623,6,Bull Point,38.06243,-122.92899,11:50,13:50,2:00,2,9,gillnet,mud,1,18,8,10,12,6,5,3,7,3,0,0,0,4,5,6,3,2.5,1.5,3.5,1.5,0,0,0,20.872,114.5,8.24,56046,37.29,9.99,light,sunny
6/24/2021,20210624,6,Bull Point,38.06243,-122.92902,12:30,14:30,2:00,2,4.5,gillnet,mud,1,9,3,5,6,2,1,2,5,0,1,0,0,1.5,2.5,3,1,0.5,1,2.5,0,0.5,0,0,21.535,114.8,8.14,56409,37.55,9.98,light,sunny
7/3/2021,20210703,7,Bull Point,38.06231,-122.92822,8:30,10:30,2:00,2,1,gillnet,mud,1,2,1,1,2,0,1,0,1,0,0,0,0,0.5,0.5,1,0,0.5,0,0.5,0,0,0,0,18.632,68.3,5.1,56327,37.5,na,,overcast
7/6/2021,20210706,7,Bull Point,38.0644,-122.92665,10:50,12:50,2:00,2,0.5,gillnet,eel,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,18.7,74.1,5.53,56539,37.55,na,none,overcast
7/7/2021,20210707,7,Bull Point,38.0625,-122.92913,11:10,13:40,2:30,2.5,1.6,gillnet,mud,1,4,1,3,4,0,1,0,3,0,0,0,0,0.4,1.2,1.6,0,0.4,0,1.2,0,0,0,0,15.63,76.7,6.04,57647,38.43,na,moderate,overcast
7/10/2021,20210710,7,Bull Point,38.06228,-122.92908,14:10,16:10,2:00,2,2,gillnet,mud,1,4,2,2,1,3,0,2,1,1,0,0,0,1,1,0.5,1.5,0,1,0.5,0.5,0,0,0,20.789,127.8,9.2,56292,37.47,na,light,sunny
7/21/2021,20210721,7,Bull Point,38.06249,-122.92906,10:55,12:55,2:00,2,2.5,gillnet,eel,1,5,0,5,3,2,0,0,3,2,0,0,0,0,2.5,1.5,1,0,0,1.5,1,0,0,0,17.753,91.3,6.91,57286,38.21,na,moderate,sunny
7/22/2021,20210722,7,Bull Point,38.06247,-122.92905,12:20,14:35,2:15,2.25,2.666666667,gillnet,mud,1,6,5,1,4,2,4,1,0,1,0,0,0,2.222222222,0.444444444,1.777777778,0.888888889,1.777777778,0.444444444,0,0.444444444,0,0,0,17.965,90.2,6.8,56940,37.94,na,none,overcast
7/23/2021,20210723,7,Bull Point,38.06247,-122.92905,12:30,13:55,1:25,1.416666667,6.352941176,gillnet,mud,1,9,5,4,7,2,3,2,4,0,0,0,0,3.529411765,2.823529412,4.941176471,1.411764706,2.117647059,1.411764706,2.823529412,0,0,0,0,18.34,121.7,9.06,56852,37.89,na,moderate,sunny
7/24/2021,20210724,7,Bull Point,38.06244,-122.92905,13:00,15:00,2:00,2,1.5,gillnet,eel,1,3,1,2,3,0,1,0,2,0,0,0,0,0.5,1,1.5,0,0.5,0,1,0,0,0,0,18.295,103.5,7.78,56648,37.74,na,moderate,overcast
7/25/2021,20210725,7,Bull Point,38.06205,-122.92876,13:35,15:35,2:00,2,6,gillnet,mud,1,12,4,8,6,6,2,2,4,4,0,0,0,2,4,3,3,1,1,2,2,0,0,0,18.106,111.7,8.43,56354,37.52,na,moderate,overcast
8/5/2021,20210805,8,Bull Point,38.0625,-122.92922,11:00,13:00,2:00,2,1.5,gillnet,eel,1,3,1,2,2,0,0,2,2,0,0,0,1,0.5,1,1,0,0,0,1,0,0,0,0.5,18.701,82.7,6.34,50285,33.02,na,light,overcast
8/22/2021,20210822,8,Bull Point,38.06248,-122.92908,12:00,14:00,2:00,2,2,gillnet,mud,1,4,2,2,4,0,2,0,2,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,17.236,80.2,6.19,54293,35.97,na,light,overcast
8/26/2021,20210826,8,Bull Point,38.06262,-122.92925,14:05,16:10,2:05,2.083333333,3.36,gillnet,mud,1,7,4,3,4,3,2,2,2,1,0,0,0,1.92,1.44,1.92,1.44,0.96,0.96,0.96,0.48,0,0,0,21.55,140.9,10.1,54105,35.83,na,light,sunny
8/27/2021,20210827,8,Bull Point,38.06262,-122.92925,12:20,14:20,2:00,2,1.5,gillnet,eel,1,3,2,1,3,0,2,0,1,0,0,0,0,1,0.5,1.5,0,1,0,0.5,0,0,0,0,20.931,107.9,7.88,54655,36.24,na,none,sunny
8/28/2021,20210828,8,Bull Point,38.06262,-122.92925,12:30,14:30,2:00,2,3.5,gillnet,eel,1,7,3,4,7,0,3,0,4,0,0,0,0,1.5,2,3.5,0,1.5,0,2,0,0,0,0,21.343,101.7,7.29,54426,36.07,na,light,sunny
8/29/2021,20210829,8,Bull Point,38.06262,-122.92925,12:35,14:35,2:00,2,0.5,gillnet,mud,1,1,1,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,20.845,108.5,7.86,54318,36,na,moderate,sunny
9/10/2021,20210910,9,Bull Point,38.06262,-122.92925,13:05,15:15,2:10,2.166666667,3.230769231,gillnet,mud,1,7,4,3,6,1,3,1,3,0,0,0,0,1.846153846,1.384615385,2.769230769,0.461538462,1.384615385,0.461538462,1.384615385,0,0,0,0,18.163,90.7,6.89,54532,36.16,na,light,overcast
9/11/2021,20210911,9,Bull Point,38.06262,-122.92925,12:10,14:10,2:00,2,2.5,gillnet,eel,1,5,3,2,4,1,2,1,2,0,0,0,0,1.5,1,2,0.5,1,0.5,1,0,0,0,0,18.059,100.7,7.66,54870,36.41,na,light,overcast
9/12/2021,20210912,9,Bull Point,38.06262,-122.92925,12:35,14:35,2:00,2,1,gillnet,mud,1,2,1,1,0,2,0,1,0,1,0,0,0,0.5,0.5,0,1,0,0.5,0,0.5,0,0,0,18.416,97.3,7.36,54606,36.21,na,moderate,sunny
9/14/2021,20210914,9,Bull Point,38.06262,-122.92925,14:20,16:20,2:00,2,0.5,gillnet,mud,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,18.453,121,9.15,54325,36.01,na,strong,overcast
